claim_id,section,claim_text,evidence_file,evidence_key,status,reviewer,notes
CLM-S7-MAP-PROBLEM,01_problem_and_motivation.md,"Problem definition and motivation map to 01_problem_and_motivation.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-METHOD,03_method.md,"Proposed method maps to 03_method.md with related-work support from 02_related_work.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-DATA,04_data_and_implementation.md,"Data and implementation maps to 04_data_and_implementation.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-RESULTS,05_experiments.md,"Results map to 06_results.md with experiment support from 05_experiments.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-MAP-DISCUSSION,07_discussion_and_limitations.md,"Discussion maps to 07_discussion_and_limitations.md.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-MAP,supported,codex,"course-section mapping"
CLM-S7-FRAME-REVIEW,03_method.md,"FInk is framed as Contractual Financial Review Priority, not a legal verdict.",docs/FINK_MASTER_SPEC.md,INV-2,supported,codex,"preserves review-priority-not-verdict framing"
CLM-S7-PRIVACY-BOUNDARY,04_data_and_implementation.md,"Paper-visible artifacts must exclude real contracts, private corpus text, raw filenames, token values, model weights, ZIPs, PDFs, and unsanitized data.",docs/FINK_MASTER_SPEC.md,INV-8,supported,codex,"privacy and copyright boundary"
CLM-S7-AUTHORITY-GATE,03_method.md,"A0-A2 official records can ground score-eligible signals; B/C practice references do not contribute scoring evidence.",docs/FINK_MASTER_SPEC.md,INV-1,supported,codex,"authority gating boundary"
CLM-S7-METHOD-DFL,03_method.md,"The paper uses DFL-inspired wording and does not claim end-to-end decision-focused training.",docs/FINK_MASTER_SPEC.md,INV-9,supported,codex,"no unvalidated training claim"
CLM-S7-RESULT-SCOPE,07_discussion_and_limitations.md,"Measured values are scoped to synthetic/sanitized local fixtures and are not generalized deployment-performance claims.",docs/specs/07_PAPER_PROJECT_PAGE_AND_DELIVERABLE_SYNC.md,PA-RESULT,supported,codex,"scope statement for result interpretation"
CLM-S7-EXP-ABLATION-ARMS,05_experiments.md,"The risk suite reports rule_only, model_only, and hybrid ablation arms without a generalized optimality claim.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-F1,measured,codex,"supported by risk_metric_suite_results.json claim_boundary"
CLM-S7-RES-EV-OCR-CER,06_results.md,"EV-OCR-CER measured 0.052632 on the synthetic/sanitized OCR fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-OCR-CER,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-OCR-WER,06_results.md,"EV-OCR-WER measured 0.125000 on the synthetic/sanitized OCR fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-OCR-WER,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-MONEY,06_results.md,"EV-EXACT-MONEY measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-MONEY,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-PCT,06_results.md,"EV-EXACT-PCT measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-PCT,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-DATE,06_results.md,"EV-EXACT-DATE measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-DATE,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-EXACT-DUR,06_results.md,"EV-EXACT-DUR measured 1.000000 on the synthetic/sanitized extraction fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-EXACT-DUR,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-SEG,06_results.md,"EV-SEG measured 1.000000 on the synthetic/sanitized segmentation fixture.",RESULT_LEDGER.csv,FINK-S5-02-EV-SEG,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-R3,06_results.md,"EV-R@3 measured 1.000000 on the synthetic/sanitized retrieval fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-R@3,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-R5,06_results.md,"EV-R@5 measured 1.000000 on the synthetic/sanitized retrieval fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-R@5,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-AUTH,06_results.md,"EV-AUTH measured 1.000000 on the synthetic/sanitized grounding fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-AUTH,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-SPAN,06_results.md,"EV-SPAN measured 0.850000 on the synthetic/sanitized cited-span fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-SPAN,measured,codex,"no generalized performance claim"
CLM-S7-RES-EV-KOEN,06_results.md,"EV-KOEN measured 1.000000 on the synthetic/sanitized KO/EN canonical-consistency fixture.",RESULT_LEDGER.csv,FINK-S5-03-EV-KOEN,measured,codex,"no generalized performance claim"
CLM-S7-RES-RULE-EV-F1,06_results.md,"rule_only EV-F1 measured 0.833333 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-RULE-EV-BENIGN-FPR,06_results.md,"rule_only EV-BENIGN-FPR measured 0.250000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-RULE-EV-SEV,06_results.md,"rule_only EV-SEV measured 0.870000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-rule_only-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-F1,06_results.md,"model_only EV-F1 measured 0.857143 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-BENIGN-FPR,06_results.md,"model_only EV-BENIGN-FPR measured 0.500000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-MODEL-EV-SEV,06_results.md,"model_only EV-SEV measured 0.910000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-model_only-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-F1,06_results.md,"hybrid EV-F1 measured 0.923077 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-F1,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-BENIGN-FPR,06_results.md,"hybrid EV-BENIGN-FPR measured 0.250000 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-BENIGN-FPR,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-HYBRID-EV-SEV,06_results.md,"hybrid EV-SEV measured 0.988333 on the synthetic/sanitized risk fixture.",RESULT_LEDGER.csv,FINK-S5-04-hybrid-EV-SEV,measured,codex,"no generalized performance or optimality claim"
CLM-S7-RES-EV-UNIT,06_results.md,"EV-UNIT measured 1.000000 for the registered formula unit cases.",RESULT_LEDGER.csv,FINK-S5-05-EV-UNIT,measured,codex,"13/13 registered cases passed per artifact notes"
CLM-S7-RES-EV-FINSCEN,06_results.md,"EV-FINSCEN measured 1.000000 for the registered financial-scenario cases.",RESULT_LEDGER.csv,FINK-S5-05-EV-FINSCEN,measured,codex,"10/10 scenario cases passed per artifact notes"
CLM-S7-RES-EV-OFFLINE,06_results.md,"EV-OFFLINE observed 0 outbound network attempts across two accepted synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-OFFLINE,measured,codex,"offline integration gate"
CLM-S7-RES-EV-PRIV,06_results.md,"EV-PRIV observed 0 leaks across six log/export surfaces.",RESULT_LEDGER.csv,FINK-S5-06-EV-PRIV,measured,codex,"privacy redaction gate"
CLM-S7-RES-EV-LAT,06_results.md,"EV-LAT max latency measured 0.003412999 seconds across two synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-LAT,measured,codex,"no SLA asserted"
CLM-S7-RES-EV-MEM,06_results.md,"EV-MEM max peak memory measured 37279 bytes across two synthetic local runs.",RESULT_LEDGER.csv,FINK-S5-06-EV-MEM,measured,codex,"no memory SLA asserted"
CLM-FINK-EXP-AUTHOFF-SEV-OEC1,06_results.md,"FINK-EXP-01 authority_off severity_baseline EV-OEC@1 measured 0.688228 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__severity_baseline-EV-OEC@1,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-SEV-OEC3,06_results.md,"FINK-EXP-01 authority_off severity_baseline EV-OEC@3 measured 0.931018 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__severity_baseline-EV-OEC@3,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-SEV-BSWR,06_results.md,"FINK-EXP-01 authority_off severity_baseline EV-BSWR measured 0.500000 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__severity_baseline-EV-BSWR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-SEV-USFR,06_results.md,"FINK-EXP-01 authority_off severity_baseline EV-USFR measured 0.141732 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__severity_baseline-EV-USFR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-EXP-OEC1,06_results.md,"FINK-EXP-01 authority_off exposure_aware EV-OEC@1 measured 0.811142 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__exposure_aware-EV-OEC@1,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-EXP-OEC3,06_results.md,"FINK-EXP-01 authority_off exposure_aware EV-OEC@3 measured 0.995014 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__exposure_aware-EV-OEC@3,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-EXP-BSWR,06_results.md,"FINK-EXP-01 authority_off exposure_aware EV-BSWR measured 0.500000 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__exposure_aware-EV-BSWR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHOFF-EXP-USFR,06_results.md,"FINK-EXP-01 authority_off exposure_aware EV-USFR measured 0.141732 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_off__exposure_aware-EV-USFR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-SEV-OEC1,06_results.md,"FINK-EXP-01 authority_on severity_baseline EV-OEC@1 measured 0.411366 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__severity_baseline-EV-OEC@1,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-SEV-OEC3,06_results.md,"FINK-EXP-01 authority_on severity_baseline EV-OEC@3 measured 0.552915 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__severity_baseline-EV-OEC@3,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-SEV-BSWR,06_results.md,"FINK-EXP-01 authority_on severity_baseline EV-BSWR measured 0.453125 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__severity_baseline-EV-BSWR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-SEV-USFR,06_results.md,"FINK-EXP-01 authority_on severity_baseline EV-USFR measured 0.000000 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__severity_baseline-EV-USFR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-EXP-OEC1,06_results.md,"FINK-EXP-01 authority_on exposure_aware EV-OEC@1 measured 0.534279 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__exposure_aware-EV-OEC@1,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-EXP-OEC3,06_results.md,"FINK-EXP-01 authority_on exposure_aware EV-OEC@3 measured 0.616911 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__exposure_aware-EV-OEC@3,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-EXP-BSWR,06_results.md,"FINK-EXP-01 authority_on exposure_aware EV-BSWR measured 0.453125 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__exposure_aware-EV-BSWR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-EXP-AUTHON-EXP-USFR,06_results.md,"FINK-EXP-01 authority_on exposure_aware EV-USFR measured 0.000000 on synthetic-only production-path fixtures.",RESULT_LEDGER.csv,FINK-EXP-01-authority_on__exposure_aware-EV-USFR,measured,codex,"oracle fixture weights only; no generalized superiority claim"
CLM-FINK-COST-MISSED,06_results.md,"FINK-COST-01 EV-MISSED-EXPOSURE-COST measured 600000.000000 on synthetic-only frozen fixtures.",RESULT_LEDGER.csv,FINK-COST-01-EV-MISSED-EXPOSURE-COST,measured,codex,"fixture-derived costs only; no generalized performance claim"
CLM-FINK-COST-EFFORT,06_results.md,"FINK-COST-01 EV-VERIFICATION-EFFORT-COST measured 90000.000000 on synthetic-only frozen fixtures.",RESULT_LEDGER.csv,FINK-COST-01-EV-VERIFICATION-EFFORT-COST,measured,codex,"fixture-derived costs only; no generalized performance claim"
CLM-FINK-COST-TOTAL,06_results.md,"FINK-COST-01 EV-TOTAL-DECISION-COST measured 690000.000000 on synthetic-only frozen fixtures.",RESULT_LEDGER.csv,FINK-COST-01-EV-TOTAL-DECISION-COST,measured,codex,"fixture-derived costs only; no generalized performance claim"
CLM-FINK-COST-FALSE-TRIGGER,06_results.md,"FINK-COST-01 EV-FALSE-TRIGGER-RATE measured 0.333333 on synthetic-only frozen fixtures.",RESULT_LEDGER.csv,FINK-COST-01-EV-FALSE-TRIGGER-RATE,measured,codex,"fixture-derived costs only; no generalized performance claim"
CLM-FINK-COST-TRIGGER-RECALL,06_results.md,"FINK-COST-01 EV-TRIGGER-RECALL measured 0.666667 on synthetic-only frozen fixtures.",RESULT_LEDGER.csv,FINK-COST-01-EV-TRIGGER-RECALL,measured,codex,"fixture-derived costs only; no generalized performance claim"
CLM-S8-HR-DISPOSITION,"07_discussion_and_limitations.md;08_responsible_ai.md","FINK-S8-03 records HR-01/02/03/05/06/08 status, confirms HR-07 resolved by HD-3, and preserves conservative-mode limits with no current-law claim.",docs/specs/09_ACCEPTANCE_CHECKLIST.md,FINK-S8-03,supported,codex,"pre-submission checklist disposition; HR-08 is recorded as human, not auto-attested"
