result_id,experiment_id,metric,value,artifact_path,status,reviewer,notes
FINK-S5-02-EV-OCR-CER,ocr_extract_metric_run,EV-OCR-CER,0.052632,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-OCR-WER,ocr_extract_metric_run,EV-OCR-WER,0.125000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-MONEY,ocr_extract_metric_run,EV-EXACT-MONEY,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-PCT,ocr_extract_metric_run,EV-EXACT-PCT,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-DATE,ocr_extract_metric_run,EV-EXACT-DATE,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-EXACT-DUR,ocr_extract_metric_run,EV-EXACT-DUR,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-02-EV-SEG,ocr_extract_metric_run,EV-SEG,1.000000,scripts/eval/ocr_extract_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-R@3,retrieval_metric_run,EV-R@3,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-R@5,retrieval_metric_run,EV-R@5,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-AUTH,retrieval_metric_run,EV-AUTH,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-SPAN,retrieval_metric_run,EV-SPAN,0.850000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-03-EV-KOEN,retrieval_metric_run,EV-KOEN,1.000000,scripts/eval/retrieval_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance claim"
FINK-S5-04-rule_only-EV-F1,risk_metric_run:rule_only,EV-F1,0.833333,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-rule_only-EV-BENIGN-FPR,risk_metric_run:rule_only,EV-BENIGN-FPR,0.250000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-rule_only-EV-SEV,risk_metric_run:rule_only,EV-SEV,0.870000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-F1,risk_metric_run:model_only,EV-F1,0.857143,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-BENIGN-FPR,risk_metric_run:model_only,EV-BENIGN-FPR,0.500000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-model_only-EV-SEV,risk_metric_run:model_only,EV-SEV,0.910000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-F1,risk_metric_run:hybrid,EV-F1,0.923077,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-BENIGN-FPR,risk_metric_run:hybrid,EV-BENIGN-FPR,0.250000,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-04-hybrid-EV-SEV,risk_metric_run:hybrid,EV-SEV,0.988333,scripts/eval/risk_metric_suite_results.json,measured,codex,"synthetic/sanitized local fixture; measured value is not a generalized performance or optimality claim"
FINK-S5-05-EV-UNIT,formula_unit_suite,EV-UNIT,1.000000,scripts/eval/formula_unit_suite_results.json,measured,codex,"13/13 registered unit cases passed; includes FIM-1..FIM-8 and SC invariants; synthetic/sanitized worked examples only"
FINK-S5-05-EV-FINSCEN,formula_unit_suite,EV-FINSCEN,1.000000,scripts/eval/formula_unit_suite_results.json,measured,codex,"10/10 financial scenario cases passed; values are worked examples or user-labeled synthetic assumptions"
FINK-S5-06-EV-OFFLINE,offline_integration_test,EV-OFFLINE,0,scripts/eval/runtime_gate_suite_results.json,measured,codex,"network_attempts observed across 2 accepted synthetic PDF/paste runs; runtime_error=null; workspace_removed_runs=2"
FINK-S5-06-EV-PRIV,privacy_redaction_test,EV-PRIV,0,scripts/eval/runtime_gate_suite_results.json,measured,codex,"leak_count observed across 6 log/export surfaces; synthetic contract text, raw filenames, and temp paths omitted"
FINK-S5-06-EV-LAT,latency_memory_run,EV-LAT,0.003412999,scripts/eval/runtime_gate_suite_results.json,measured,codex,"max_latency_seconds across 2 synthetic local runs; no SLA asserted"
FINK-S5-06-EV-MEM,latency_memory_run,EV-MEM,37279,scripts/eval/runtime_gate_suite_results.json,measured,codex,"max_peak_memory_bytes across 2 synthetic local runs; no memory SLA asserted"
FINK-EXP-01-authority_off__severity_baseline-EV-OEC@1,production_path_factorial_experiment:authority_off__severity_baseline,EV-OEC@1,0.688228,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__severity_baseline-EV-OEC@3,production_path_factorial_experiment:authority_off__severity_baseline,EV-OEC@3,0.931018,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__severity_baseline-EV-BSWR,production_path_factorial_experiment:authority_off__severity_baseline,EV-BSWR,0.500000,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__severity_baseline-EV-USFR,production_path_factorial_experiment:authority_off__severity_baseline,EV-USFR,0.141732,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__exposure_aware-EV-OEC@1,production_path_factorial_experiment:authority_off__exposure_aware,EV-OEC@1,0.811142,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__exposure_aware-EV-OEC@3,production_path_factorial_experiment:authority_off__exposure_aware,EV-OEC@3,0.995014,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__exposure_aware-EV-BSWR,production_path_factorial_experiment:authority_off__exposure_aware,EV-BSWR,0.500000,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_off__exposure_aware-EV-USFR,production_path_factorial_experiment:authority_off__exposure_aware,EV-USFR,0.141732,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__severity_baseline-EV-OEC@1,production_path_factorial_experiment:authority_on__severity_baseline,EV-OEC@1,0.411366,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__severity_baseline-EV-OEC@3,production_path_factorial_experiment:authority_on__severity_baseline,EV-OEC@3,0.552915,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__severity_baseline-EV-BSWR,production_path_factorial_experiment:authority_on__severity_baseline,EV-BSWR,0.453125,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__severity_baseline-EV-USFR,production_path_factorial_experiment:authority_on__severity_baseline,EV-USFR,0.000000,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__exposure_aware-EV-OEC@1,production_path_factorial_experiment:authority_on__exposure_aware,EV-OEC@1,0.534279,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__exposure_aware-EV-OEC@3,production_path_factorial_experiment:authority_on__exposure_aware,EV-OEC@3,0.616911,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__exposure_aware-EV-BSWR,production_path_factorial_experiment:authority_on__exposure_aware,EV-BSWR,0.453125,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-EXP-01-authority_on__exposure_aware-EV-USFR,production_path_factorial_experiment:authority_on__exposure_aware,EV-USFR,0.000000,scripts/eval/fink_exp_01_factorial_results.json,measured,codex,"synthetic-only FINK-EXP-01 production-path factorial; oracle fixture weights only; no predicted exposure-value or generalized superiority claim"
FINK-COST-01-EV-MISSED-EXPOSURE-COST,cost_sensitive_verification_evaluation,EV-MISSED-EXPOSURE-COST,600000.000000,scripts/eval/cost_sensitive_verification_results.json,measured,codex,"synthetic-only FINK-COST-01 frozen evaluation; fixed dev threshold; fixture-derived costs only; no generalized performance claim"
FINK-COST-01-EV-VERIFICATION-EFFORT-COST,cost_sensitive_verification_evaluation,EV-VERIFICATION-EFFORT-COST,90000.000000,scripts/eval/cost_sensitive_verification_results.json,measured,codex,"synthetic-only FINK-COST-01 frozen evaluation; fixed dev threshold; fixture-derived costs only; no generalized performance claim"
FINK-COST-01-EV-TOTAL-DECISION-COST,cost_sensitive_verification_evaluation,EV-TOTAL-DECISION-COST,690000.000000,scripts/eval/cost_sensitive_verification_results.json,measured,codex,"synthetic-only FINK-COST-01 frozen evaluation; fixed dev threshold; fixture-derived costs only; no generalized performance claim"
FINK-COST-01-EV-FALSE-TRIGGER-RATE,cost_sensitive_verification_evaluation,EV-FALSE-TRIGGER-RATE,0.333333,scripts/eval/cost_sensitive_verification_results.json,measured,codex,"synthetic-only FINK-COST-01 frozen evaluation; fixed dev threshold; fixture-derived costs only; no generalized performance claim"
FINK-COST-01-EV-TRIGGER-RECALL,cost_sensitive_verification_evaluation,EV-TRIGGER-RECALL,0.666667,scripts/eval/cost_sensitive_verification_results.json,measured,codex,"synthetic-only FINK-COST-01 frozen evaluation; fixed dev threshold; fixture-derived costs only; no generalized performance claim"
